id,Datum,Fastenzeit
150702,2015-07-02,0
150703,2015-07-03,0
150704,2015-07-04,0
150705,2015-07-05,0
150706,2015-07-06,0
150707,2015-07-07,0
150708,2015-07-08,0
150709,2015-07-09,0
150710,2015-07-10,0
150711,2015-07-11,0
150712,2015-07-12,0
150713,2015-07-13,0
150714,2015-07-14,0
150715,2015-07-15,0
150716,2015-07-16,0
150717,2015-07-17,0
150718,2015-07-18,0
150719,2015-07-19,0
150720,2015-07-20,0
150721,2015-07-21,0
150722,2015-07-22,0
150723,2015-07-23,0
150724,2015-07-24,0
150725,2015-07-25,0
150726,2015-07-26,0
150727,2015-07-27,0
150728,2015-07-28,0
150729,2015-07-29,0
150730,2015-07-30,0
150731,2015-07-31,0
150801,2015-08-01,0
150802,2015-08-02,0
150803,2015-08-03,0
150804,2015-08-04,0
150805,2015-08-05,0
150806,2015-08-06,0
150807,2015-08-07,0
150808,2015-08-08,0
150809,2015-08-09,0
150810,2015-08-10,0
150811,2015-08-11,0
150812,2015-08-12,0
150813,2015-08-13,0
150814,2015-08-14,0
150815,2015-08-15,0
150816,2015-08-16,0
150817,2015-08-17,0
150818,2015-08-18,0
150819,2015-08-19,0
150820,2015-08-20,0
150821,2015-08-21,0
150822,2015-08-22,0
150823,2015-08-23,0
150824,2015-08-24,0
150825,2015-08-25,0
150826,2015-08-26,0
150827,2015-08-27,0
150828,2015-08-28,0
150829,2015-08-29,0
150830,2015-08-30,0
150831,2015-08-31,0
150901,2015-09-01,0
150902,2015-09-02,0
150903,2015-09-03,0
150904,2015-09-04,0
150905,2015-09-05,0
150906,2015-09-06,0
150907,2015-09-07,0
150908,2015-09-08,0
150909,2015-09-09,0
150910,2015-09-10,0
150911,2015-09-11,0
150912,2015-09-12,0
150913,2015-09-13,0
150914,2015-09-14,0
150915,2015-09-15,0
150916,2015-09-16,0
150917,2015-09-17,0
150918,2015-09-18,0
150919,2015-09-19,0
150920,2015-09-20,0
150921,2015-09-21,0
150922,2015-09-22,0
150923,2015-09-23,0
150924,2015-09-24,0
150925,2015-09-25,0
150926,2015-09-26,0
150927,2015-09-27,0
150928,2015-09-28,0
150929,2015-09-29,0
150930,2015-09-30,0
151001,2015-10-01,0
151002,2015-10-02,0
151003,2015-10-03,0
151004,2015-10-04,0
151005,2015-10-05,0
151006,2015-10-06,0
151007,2015-10-07,0
151008,2015-10-08,0
151009,2015-10-09,0
151010,2015-10-10,0
151011,2015-10-11,0
151012,2015-10-12,0
151013,2015-10-13,0
151014,2015-10-14,0
151015,2015-10-15,0
151016,2015-10-16,0
151017,2015-10-17,0
151018,2015-10-18,0
151019,2015-10-19,0
151020,2015-10-20,0
151021,2015-10-21,0
151022,2015-10-22,0
151023,2015-10-23,0
151024,2015-10-24,0
151025,2015-10-25,0
151026,2015-10-26,0
151027,2015-10-27,0
151028,2015-10-28,0
151029,2015-10-29,0
151030,2015-10-30,0
151031,2015-10-31,0
151101,2015-11-01,0
151102,2015-11-02,0
151103,2015-11-03,0
151104,2015-11-04,0
151105,2015-11-05,0
151106,2015-11-06,0
151107,2015-11-07,0
